time,duration,value,confidence
0.0,8.359183673469389,E:maj,0.2513122856616974
8.359183673469389,4.272471655328797,B:maj,0.38995110988616943
12.631655328798185,4.365351473922903,F#:7,0.22883754968643188
16.99700680272109,3.900952380952379,A:maj,0.35974055528640747
20.897959183673468,5.201269841269841,C#:min7,0.4766376316547394
26.09922902494331,7.894784580498868,B:maj,0.4100591838359833
33.99401360544218,4.2724716553288005,E:maj,0.48152294754981995
38.26648526077098,4.736870748299317,C#:min7,0.828110933303833
43.003356009070295,3.8080725623582765,E:maj6,0.45115426182746887
46.81142857142857,4.2724716553288005,C#:min7,0.7465734481811523
51.08390022675737,4.179591836734694,F#:min7,0.3540176451206207
55.263492063492066,4.272471655328793,B:sus4,0.6323032379150391
59.53596371882086,4.179591836734694,E:maj,0.47619113326072693
63.715555555555554,4.086712018140588,G#:min7,0.8388605713844299
67.80226757369614,2.3219954648526056,A:maj7,0.739167332649231
70.12426303854875,5.47990929705216,F#:min7,0.38824206590652466
75.60417233560091,0.9287981859410479,B:7,0.3184404671192169
76.53297052154196,4.179591836734687,E:maj,0.5632694363594055
80.71256235827664,4.086712018140588,G#:min7,0.8620585799217224
84.79927437641723,2.3219954648526056,A:maj7,0.6901111006736755
87.12126984126984,3.2507936507936535,F#:min7,0.39488503336906433
90.37206349206349,2.1362358276644073,A:min7,0.35998472571372986
92.5082993197279,0.9287981859410337,B:7,0.5177223682403564
93.43709750566893,4.179591836734701,E:min7,0.6604776978492737
97.61668934240363,4.551111111111112,A:min7,0.5260534286499023
102.16780045351474,3.8080725623582765,D:min7,0.28958192467689514
105.97587301587302,1.9504761904761807,A#:maj,0.36963459849357605
107.9263492063492,1.2074376417233594,F#:aug,0.35044559836387634
109.13378684807256,2.3219954648526056,E:maj,0.1923636645078659
111.45578231292517,7.523265306122454,B:7,0.3064616322517395
118.97904761904762,7.8019047619047655,A:maj,0.6383605003356934
126.78095238095239,1.6718367346938692,B:maj,0.2591685354709625
128.45278911564625,7.430385487528355,B:sus4,0.2825915515422821
135.8831746031746,8.6378231292517,A:maj,0.48043662309646606
144.5209977324263,8.266303854875275,B:sus4,0.3053659498691559
152.78730158730158,7.05886621315193,A:maj,0.42748865485191345
159.84616780045351,1.6718367346938692,B:maj,0.5092163681983948
161.51800453514738,1.950476190476195,E:maj,0.5702906250953674
163.46848072562358,2.7863945578231437,E:maj6,0.48962801694869995
166.25487528344672,3.622312925170064,C#:min7,0.45760950446128845
169.8771882086168,3.9009523809523614,E:maj,0.5059679746627808
173.77814058956915,4.458231292517013,G#:min7,0.8566005229949951
178.23637188208616,2.136235827664393,A:maj7,0.8956111669540405
180.37260770975055,2.507755102040818,F#:min7,0.7514277696609497
182.88036281179137,3.993832199546489,F#:hdim7,0.5866236090660095
186.87419501133786,4.272471655328815,E:maj,0.5893720388412476
191.14666666666668,4.086712018140588,G#:min7,0.909938395023346
195.23337868480726,2.136235827664393,A:maj7,0.8484489321708679
197.36961451247166,2.414875283446719,F#:min7,0.7933046817779541
199.78448979591838,3.15791383219954,F#:hdim7,0.7027710676193237
202.94240362811792,0.9287981859410479,B:7,0.421656996011734
203.87120181405896,4.086712018140588,E:min7,0.5262722373008728
207.95791383219955,4.086712018140588,A:min7,0.6626922488212585
212.04462585034014,3.529433106575965,A:min,0.5132178068161011
215.5740589569161,0.8359183673469204,D:min7,0.31991320848464966
216.40997732426302,4.365351473922914,A#:maj,0.28936174511909485
220.77532879818594,5.387029478458061,A:min,0.6728386282920837
226.162358276644,3.2507936507936392,D:min7,0.5840016007423401
229.41315192743764,1.021678004535147,G:min7,0.45643603801727295
230.43482993197279,3.2507936507936677,A#:maj,0.43974876403808594
233.68562358276645,2.693514739229016,F:7/3,0.35130664706230164
236.37913832199547,2.600634920634917,D:min,0.41380050778388977
238.9797732426304,3.065034013605441,F:maj7,0.42007309198379517
242.04480725623583,1.1145578231292461,G:min7,0.3488697409629822
243.15936507936507,4.272471655328815,A#:maj,0.4281221628189087
247.4318367346939,2.8792743764172144,D#:maj7,0.31598079204559326
250.3111111111111,2.136235827664393,G#:maj,0.3224342167377472
252.4473469387755,2.414875283446719,A#:7,0.3794614374637604
254.86222222222221,42.910476190476174,B:sus4,0.5299516320228577
297.7726984126984,2.6935147392290446,N,0.7832804322242737
