time,duration,value,confidence
0.0,8.452063492063493,C#:min7/b3,0.29004424810409546
8.452063492063493,4.1795918367346925,B:maj,0.3255459666252136
12.631655328798185,4.458231292517006,F#:min7,0.50025874376297
17.08988662131519,3.622312925170071,A:maj7,0.5325588583946228
20.712199546485262,5.201269841269841,C#:min7,0.5446171760559082
25.913469387755104,2.043356009070294,B:7,0.27255532145500183
27.956825396825398,9.845260770975056,E:maj,0.49971717596054077
37.802086167800454,4.179591836734694,C#:min7,0.8034025430679321
41.98167800453515,4.179591836734694,E:maj,0.7561950087547302
46.16126984126984,4.086712018140588,C#:min7,0.6090668439865112
50.24798185941043,4.643990929705218,F#:min7,0.7353030443191528
54.89197278911565,3.7151927437641703,B:sus4,0.4839988946914673
58.60716553287982,4.086712018140588,E:maj6,0.3324023485183716
62.69387755102041,4.179591836734701,G#:min7,0.7925252318382263
66.87346938775511,2.136235827664393,A:maj7,0.828146755695343
69.0097052154195,6.408707482993194,F#:min7,0.7309954762458801
75.4184126984127,3.993832199546489,E:maj,0.2771691083908081
79.41224489795918,4.086712018140588,G#:min7,0.705258846282959
83.49895691609977,2.2291156462585064,A:maj7,0.9266169667243958
85.72807256235828,4.086712018140588,F#:min7,0.7146256566047668
89.81478458049887,1.1145578231292461,A:min,0.27449533343315125
90.92934240362811,1.021678004535147,B:aug,0.23405347764492035
91.95102040816326,3.2507936507936535,E:min7,0.49378302693367004
95.20181405895691,0.6501587301587364,G:maj7,0.6323067545890808
95.85197278911565,3.3436734693877526,A:min7,0.6714165210723877
99.1956462585034,1.1145578231292461,C:maj7,0.6125563383102417
100.31020408163265,2.6935147392290304,D:min7,0.4169556796550751
103.00371882086168,1.3931972789115576,F:maj7,0.5161324739456177
104.39691609977324,2.1362358276644073,A#:maj,0.31353357434272766
106.53315192743764,1.950476190476195,F#:7/3,0.24767771363258362
108.48362811791384,2.693514739229016,B:maj,0.3606974482536316
111.17714285714285,5.758548752834471,B:7,0.44227609038352966
116.93569160997733,8.452063492063488,A:maj7,0.5173798203468323
125.38775510204081,8.173424036281176,B:sus4,0.3249794542789459
133.561179138322,7.337505668934256,A:maj7,0.6352807879447937
140.89868480725625,5.108390022675735,E:maj,0.41814368963241577
146.00707482993198,4.086712018140588,G#:min7,0.8536593317985535
150.09378684807257,2.2291156462584922,A:maj7,0.937620997428894
152.32290249433106,6.315827664399109,F#:min7,0.6846050024032593
158.63873015873017,0.9287981859410195,E:maj6,0.48015886545181274
159.5675283446712,3.1579138321995686,E:maj,0.44132670760154724
162.72544217687076,3.993832199546489,G#:min7,0.7344982028007507
166.71927437641725,2.2291156462584922,A:maj7,0.6929347515106201
168.94839002267574,2.136235827664393,F#:min7,0.7864858508110046
171.08462585034013,3.065034013605441,F#:hdim7,0.4861459732055664
174.14965986394557,1.021678004535147,E:min/5,0.33652427792549133
175.17133786848072,1.1145578231292461,E:min7,0.5010625720024109
176.28589569160997,2.043356009070294,D:maj/3,0.22783686220645905
178.32925170068026,0.7430385487528497,G:maj7,0.3784239888191223
179.0722902494331,1.3003174603174443,A:min7,0.5132319331169128
180.37260770975055,2.879274376417243,C:maj7,0.3884110152721405
183.2518820861678,3.3436734693877668,A:min,0.39202243089675903
186.59555555555556,0.8359183673469204,F:maj7,0.6104424595832825
187.43147392290248,3.90095238095239,A#:maj,0.4391975402832031
191.33242630385487,5.201269841269834,C:maj,0.3930962085723877
196.5336961451247,3.436553287981866,F:maj7,0.8359363675117493
199.97024943310657,2.879274376417243,G:min7,0.771846354007721
202.84952380952382,1.3931972789115719,A#:maj,0.3384779691696167
204.2427210884354,2.9721541950113135,D#:7,0.34103909134864807
207.2148752834467,1.2074376417233736,D#:maj,0.32786932587623596
208.42231292517008,0.8359183673469204,D:min7,0.2500331997871399
209.258231292517,3.3436734693877668,F:maj7/3,0.4719996452331543
212.60190476190476,4.272471655328786,G:min7,0.8240759968757629
216.87437641723355,4.086712018140588,C:min7,0.690659761428833
220.96108843537414,1.950476190476195,G#:7,0.2709586024284363
222.91156462585033,2.1362358276644215,A#:7,0.33547428250312805
225.04780045351475,75.04689342403628,B:min7,0.5805132985115051
300.09469387755104,3.4365532879818375,B:aug,0.24930018186569214
303.5312471655329,2.2291156462584922,N,0.6817785501480103
